Lugar de residencia,IA 14 días,Población,PDIA acum.,PDIA 14 días,PDIA 7 días,Fallecidos acum.,Provincia
Abla,560.9,1248,100,7,5,4,Almería
Abrucena,0,1183,87,0,0,1,Almería
Alboloduy,0,609,23,0,0,1,Almería
Alcudia de Monteagud,0,138,1,0,0,0,Almería
Alhabia,0,677,55,0,0,0,Almería
Alhama de Almería,54.2,3691,369,2,0,8,Almería
Alicún,0,201,15,0,0,0,Almería
Almería,71,201322,22426,143,64,267,Almería
Almócita,0,176,10,0,0,1,Almería
Alsodux,0,125,2,0,0,0,Almería
Beires,0,120,5,0,0,0,Almería
Benahadux,44.6,4481,493,2,1,3,Almería
Benitagla,0,58,0,0,0,0,Almería
Benizalón,0,262,3,0,0,0,Almería
Bentarique,0,240,16,0,0,0,Almería
Canjáyar,0,1189,43,0,0,1,Almería
Carboneras,74,8105,904,6,4,14,Almería
Castro de Filabres,0,120,1,0,0,0,Almería
Fiñana,453.6,1984,276,9,7,5,Almería
Gádor,131.8,3034,242,4,2,0,Almería
Gérgal,0,1080,50,0,0,4,Almería
Huécija,0,486,27,0,0,0,Almería
Huércal de Almería,16.7,17917,1770,3,1,19,Almería
Íllar,0,405,67,0,0,11,Almería
Instinción,0,448,58,0,0,1,Almería
Lubrín,0,1449,58,0,0,1,Almería
Lucainena de las Torres,0,564,10,0,0,0,Almería
Nacimiento,0,496,18,0,0,0,Almería
Níjar,445.3,31666,3624,141,64,41,Almería
Ohanes,0,558,23,0,0,1,Almería
Olula de Castro,0,191,1,0,0,0,Almería
Padules,0,414,32,0,0,1,Almería
Pechina,195,4103,419,8,8,7,Almería
Rágol,0,303,21,0,0,2,Almería
Rioja,0,1453,123,0,0,0,Almería
Santa Cruz de Marchena,0,199,14,0,0,0,Almería
Santa Fe de Mondújar,0,461,35,0,0,0,Almería
Senés,0,289,10,0,0,1,Almería
Sorbas,82.1,2436,157,2,2,2,Almería
Tabernas,107.6,3717,296,4,3,3,Almería
Tahal,0,336,9,0,0,0,Almería
Terque,0,365,35,0,0,4,Almería
Las Tres Villas,0,565,13,0,0,1,Almería
Turrillas,0,248,12,0,0,1,Almería
Uleila del Campo,0,822,27,0,0,1,Almería
Velefique,0,230,3,0,0,0,Almería
Viator,33.5,5978,645,2,2,9,Almería
Albanchez,0,687,21,0,0,0,Almería
Albox,24.8,12083,1273,3,1,21,Almería
Alcóntar,0,514,19,0,0,0,Almería
Antas,60.3,3315,493,2,1,12,Almería
Arboleas,324.4,4624,249,15,1,6,Almería
Armuña de Almanzora,0,300,33,0,0,1,Almería
Bacares,0,250,68,0,0,10,Almería
Bayarque,0,216,7,0,0,1,Almería
Bédar,0,984,35,0,0,0,Almería
Cantoria,0,3365,187,0,0,2,Almería
Chercos,0,298,9,0,0,0,Almería
Chirivel,0,1489,174,0,0,9,Almería
Cóbdar,0,178,18,0,0,0,Almería
Cuevas del Almanzora,166,14455,1414,24,13,18,Almería
Fines,0,2104,162,0,0,2,Almería
Los Gallardos,34.5,2902,298,1,1,4,Almería
Garrucha,157.6,9520,820,15,8,11,Almería
Huércal-Overa,46.3,19432,1618,9,4,17,Almería
Laroya,0,198,0,0,0,0,Almería
Líjar,253.8,394,24,1,1,1,Almería
Lúcar,0,760,71,0,0,0,Almería
Macael,146,5480,393,8,1,8,Almería
María,0,1230,113,0,0,0,Almería
Mojácar,29.5,6778,692,2,1,17,Almería
Olula del Río,48,6256,559,3,1,4,Almería
Oria,0,2239,132,0,0,4,Almería
Partaloa,0,1035,39,0,0,1,Almería
Pulpí,57.9,10358,1044,6,6,7,Almería
Purchena,0,1664,85,0,0,3,Almería
Serón,0,2033,124,0,0,2,Almería
Sierro,0,379,19,0,0,0,Almería
Somontín,0,443,15,0,0,1,Almería
Suflí,0,196,3,0,0,0,Almería
Taberno,0,974,41,0,0,4,Almería
Tíjola,28.2,3548,345,1,0,1,Almería
Turre,185.1,3781,356,7,6,4,Almería
Urrácal,0,350,26,0,0,1,Almería
Vélez-Blanco,0,1874,142,0,0,5,Almería
Vélez-Rubio,45.8,6546,674,3,2,24,Almería
Vera,100,16996,1956,17,5,21,Almería
Zurgena,0,2956,181,0,0,1,Almería
Adra,7.9,25412,2626,2,2,47,Almería
Alcolea,237,844,36,2,1,0,Almería
Balanegra,128.8,3105,291,4,4,1,Almería
Bayárcal,0,312,25,0,0,1,Almería
Berja,39.8,12563,785,5,1,14,Almería
Dalías,24.6,4066,222,1,1,8,Almería
El Ejido,58.5,83758,7873,49,17,87,Almería
Enix,0,514,13,0,0,1,Almería
Felix,0,636,31,0,0,0,Almería
Fondón,0,994,20,0,0,0,Almería
Láujar de Andarax,65.5,1527,113,1,0,1,Almería
La Mojonera,130.6,9191,886,12,7,7,Almería
Paterna del Río,547.9,365,10,2,2,0,Almería
Roquetas de Mar,103.6,98433,7836,102,27,83,Almería
Vícar,178.4,26899,2362,48,20,34,Almería
Algeciras,48.7,123078,11817,60,25,262,Cádiz
Los Barrios,4.2,23777,2137,1,1,80,Cádiz
Tarifa,22,18183,1527,4,2,30,Cádiz
Castellar de la Frontera,0,3057,298,0,0,4,Cádiz
Jimena de la Frontera,164,6707,545,11,3,10,Cádiz
San Martín del Tesorillo,71.4,2801,198,2,0,3,Cádiz
La Línea de la Concepción,42.4,63630,6877,27,8,118,Cádiz
San Roque,28.5,31571,2971,9,2,50,Cádiz
Alcalá de los Gazules,0,5226,377,0,0,3,Cádiz
Barbate,44.3,22556,2358,10,2,27,Cádiz
Benalup-Casas Viejas,0,6986,657,0,0,6,Cádiz
Cádiz,29.5,115439,8771,34,7,94,Cádiz
Chiclana de la Frontera,22.3,85150,6957,19,10,77,Cádiz
Conil de la Frontera,43.9,22775,2241,10,3,9,Cádiz
Medina Sidonia,0,11773,790,0,0,1,Cádiz
Paterna de Rivera,91.7,5453,541,5,5,8,Cádiz
El Puerto de Santa María,24.8,88703,7074,22,4,43,Cádiz
Puerto Real,36,41700,2951,15,4,26,Cádiz
San Fernando,52.6,95001,8153,50,21,110,Cádiz
Vejer de la Frontera,31.7,12622,1044,4,1,10,Cádiz
Chipiona,15.6,19246,1294,3,1,9,Cádiz
Jerez de la Frontera,22.1,213105,19613,47,19,338,Cádiz
Rota,44.4,29282,1828,13,3,14,Cádiz
San José del Valle,0,4433,402,0,0,6,Cádiz
Sanlúcar de Barrameda,27.5,69205,6281,19,6,59,Cádiz
Trebujena,0,7016,608,0,0,7,Cádiz
Alcalá del Valle,0,5043,745,0,0,25,Cádiz
Algar,70,1428,178,1,0,1,Cádiz
Algodonales,72.6,5506,477,4,1,8,Cádiz
Arcos de la Frontera,6.5,30818,3301,2,1,42,Cádiz
Benaocaz,0,673,45,0,0,0,Cádiz
Bornos,13.1,7654,872,1,0,6,Cádiz
El Bosque,93.6,2137,181,2,1,3,Cádiz
Espera,0,3869,448,0,0,5,Cádiz
El Gastor,0,1729,190,0,0,4,Cádiz
Grazalema,0,2013,217,0,0,4,Cádiz
Olvera,49.6,8062,795,4,0,12,Cádiz
Prado del Rey,0,5590,515,0,0,7,Cádiz
Puerto Serrano,0,6942,1030,0,0,7,Cádiz
Setenil de las Bodegas,73,2741,270,2,1,9,Cádiz
Torre Alháquime,0,796,38,0,0,0,Cádiz
Ubrique,0,16605,1474,0,0,21,Cádiz
Villaluenga del Rosario,0,455,21,0,0,0,Cádiz
Villamartín,49.4,12134,1517,6,4,17,Cádiz
Zahara,72.5,1379,44,1,0,1,Cádiz
Córdoba,24.2,326039,29541,79,26,399,Córdoba
Aguilar de la Frontera,22.4,13382,1450,3,0,22,Córdoba
Almedinilla,0,2370,150,0,0,6,Córdoba
Baena,36.8,19045,1913,7,6,38,Córdoba
Benamejí,0,4963,731,0,0,12,Córdoba
Cabra,108.1,20347,1795,22,11,27,Córdoba
Carcabuey,0,2371,128,0,0,2,Córdoba
Castro del Río,12.9,7767,660,1,0,12,Córdoba
Doña Mencía,86.7,4615,796,4,3,0,Córdoba
Encinas Reales,0,2254,169,0,0,1,Córdoba
Espejo,0,3289,209,0,0,7,Córdoba
Fernán-Núñez,31.1,9651,922,3,0,8,Córdoba
Fuente-Tójar,150.2,666,74,1,0,2,Córdoba
La Guijarrosa,0,1379,91,0,0,2,Córdoba
Iznájar,0,4134,259,0,0,9,Córdoba
Lucena,53.8,42733,4959,23,3,47,Córdoba
Luque,0,2976,332,0,0,3,Córdoba
Montalbán de Córdoba,0,4467,414,0,0,4,Córdoba
Montemayor,0,3856,369,0,0,2,Córdoba
Montilla,52.8,22739,2109,12,4,30,Córdoba
Monturque,0,1943,162,0,0,0,Córdoba
Moriles,54,3701,480,2,1,5,Córdoba
Nueva Carteya,0,5341,498,0,0,3,Córdoba
Palenciana,0,1465,151,0,0,1,Córdoba
Priego de Córdoba,8.9,22367,1880,2,0,41,Córdoba
Puente Genil,46.8,29943,2986,14,3,52,Córdoba
La Rambla,0,7529,603,0,0,4,Córdoba
Rute,10.1,9898,1101,1,0,31,Córdoba
Santaella,21.7,4614,376,1,0,2,Córdoba
Zuheros,0,635,60,0,0,0,Córdoba
Adamuz,48.3,4137,308,2,0,4,Córdoba
Almodóvar del Río,50.4,7932,696,4,0,6,Córdoba
Bujalance,0,7320,647,0,0,6,Córdoba
Cañete de las Torres,0,2923,202,0,0,3,Córdoba
La Carlota,14.2,14079,973,2,1,12,Córdoba
El Carpio,0,4363,480,0,0,15,Córdoba
Fuente Carreteros,0,1148,56,0,0,1,Córdoba
Fuente Palmera,30.7,9766,608,3,3,5,Córdoba
Guadalcázar,0,1559,73,0,0,1,Córdoba
Hornachuelos,0,4480,257,0,0,5,Córdoba
Montoro,21.5,9293,816,2,0,26,Córdoba
Obejo,0,2008,78,0,0,2,Córdoba
Palma del Río,19.1,20928,1658,4,3,32,Córdoba
Pedro Abad,0,2815,424,0,0,1,Córdoba
Peñaflor,0,3639,271,0,0,1,Córdoba
Posadas,27.3,7318,478,2,2,4,Córdoba
San Sebastián de los Ballesteros,248.8,804,72,2,0,1,Córdoba
Valenzuela,0,1118,52,0,0,0,Córdoba
La Victoria,0,2289,121,0,0,1,Córdoba
Villa del Río,0,7067,732,0,0,7,Córdoba
Villafranca de Córdoba,0,4860,363,0,0,2,Córdoba
Villaharta,0,621,40,0,0,2,Córdoba
Villaviciosa de Córdoba,0,3200,142,0,0,4,Córdoba
Alcaracejos,0,1470,95,0,0,5,Córdoba
Añora,0,1530,206,0,0,1,Córdoba
Belalcázar,123.6,3235,372,4,0,11,Córdoba
Belmez,68.5,2921,330,2,2,14,Córdoba
Los Blázquez,0,664,46,0,0,0,Córdoba
Cardeña,0,1471,85,0,0,1,Córdoba
Conquista,0,366,28,0,0,0,Córdoba
Dos Torres,0,2394,189,0,0,2,Córdoba
Espiel,0,2405,130,0,0,2,Córdoba
Fuente la Lancha,0,342,16,0,0,0,Córdoba
Fuente Obejuna,0,4501,295,0,0,5,Córdoba
La Granjuela,0,439,65,0,0,1,Córdoba
El Guijo,0,352,17,0,0,0,Córdoba
Hinojosa del Duque,0,6707,658,0,0,15,Córdoba
Pedroche,269.9,1482,228,4,0,13,Córdoba
Peñarroya-Pueblonuevo,18.9,10561,1303,2,1,30,Córdoba
Pozoblanco,40.7,17204,1629,7,0,24,Córdoba
Santa Eufemia,0,743,93,0,0,5,Córdoba
Torrecampo,0,1040,93,0,0,5,Córdoba
Valsequillo,0,348,51,0,0,0,Córdoba
Villanueva de Córdoba,23.1,8671,780,2,1,11,Córdoba
Villanueva del Duque,0,1448,73,0,0,2,Córdoba
Villanueva del Rey,0,1015,106,0,0,5,Córdoba
Villaralto,0,1118,13,0,0,0,Córdoba
El Viso,0,2517,178,0,0,3,Córdoba
Albondón,0,712,20,0,0,1,Granada
Albuñol,163.2,7353,603,12,0,7,Granada
Almegíjar,0,337,10,0,0,0,Granada
Almuñécar,23.1,25927,1582,6,0,14,Granada
Alpujarra de la Sierra,103.2,969,32,1,0,2,Granada
Bérchules,0,712,26,0,0,0,Granada
Bubión,0,298,25,0,0,1,Granada
Busquístar,0,279,56,0,0,2,Granada
Cádiar,68.3,1465,53,1,0,0,Granada
Cáñar,0,377,11,0,0,0,Granada
